timestamp,latency_p99,error_rate,rps,anomaly_label
2024-02-07T00:00:00,132.91,1.1859,431.8,0
2024-02-07T00:10:00,174.84,1.4967,412.8,0
2024-02-07T00:20:00,119.41,0.8155,342.3,0
2024-02-07T00:30:00,110.48,1.4121,316.7,1
2024-02-07T00:40:00,131.04,0.7003,376.5,0
2024-02-07T00:50:00,114.34,0.4185,326.5,0
2024-02-07T01:00:00,163.27,0.158,612.1,0
2024-02-07T01:10:00,138.93,0.5598,302.7,0
2024-02-07T01:20:00,131.97,0.1805,468.2,0
2024-02-07T01:30:00,139.48,1.8214,497.3,0
2024-02-07T01:40:00,116.92,1.0382,489.9,0
2024-02-07T01:50:00,158.85,0.7726,499.1,1
2024-02-07T02:00:00,143.52,1.6832,549.6,0
2024-02-07T02:10:00,127.64,0.1729,410.8,0
2024-02-07T02:20:00,151.16,0.7574,464.6,0
2024-02-07T02:30:00,107.93,1.8276,426.9,1
2024-02-07T02:40:00,88.4,0.7576,586.9,0
2024-02-07T02:50:00,120.01,2.0549,667.1,0
2024-02-07T03:00:00,151.73,1.2261,338.1,0
2024-02-07T03:10:00,132.85,1.4881,254.8,0
2024-02-07T03:20:00,133.12,1.5045,515.2,0
2024-02-07T03:30:00,107.05,0.8397,565.8,0
2024-02-07T03:40:00,87.11,0.5966,654.9,0
2024-02-07T03:50:00,157.24,0.7849,533.4,0
2024-02-07T04:00:00,123.18,0.351,599.6,0
2024-02-07T04:10:00,115.2,0.8133,626.4,0
2024-02-07T04:20:00,115.88,0.8459,607.3,0
2024-02-07T04:30:00,178.94,1.6946,549.4,1
2024-02-07T04:40:00,146.38,1.1485,333.4,0
2024-02-07T04:50:00,104.8,2.035,461.2,0
2024-02-07T05:00:00,149.55,0.0,492.5,0
2024-02-07T05:10:00,124.97,0.2489,452.9,0
2024-02-07T05:20:00,111.36,0.6816,459.5,0
2024-02-07T05:30:00,118.83,1.6074,620.5,1
2024-02-07T05:40:00,121.65,0.8082,388.5,0
2024-02-07T05:50:00,99.04,0.1309,544.5,0
2024-02-07T06:00:00,171.93,0.7441,496.6,0
2024-02-07T06:10:00,126.26,0.2697,379.7,1
2024-02-07T06:20:00,150.44,0.1736,358.2,0
2024-02-07T06:30:00,134.33,1.8716,296.1,0
2024-02-07T06:40:00,172.17,0.6983,515.2,0
2024-02-07T06:50:00,84.53,0.9625,460.8,1
2024-02-07T07:00:00,108.56,0.8313,384.9,0
2024-02-07T07:10:00,139.85,0.7539,280.3,0
2024-02-07T07:20:00,99.56,0.4612,511.6,0
2024-02-07T07:30:00,134.52,0.728,451.4,0
2024-02-07T07:40:00,98.51,1.0538,397.8,0
2024-02-07T07:50:00,130.01,1.5964,373.2,0
2024-02-07T08:00:00,157.79,1.3626,446.1,0
2024-02-07T08:10:00,145.93,0.2812,517.4,0
2024-02-07T08:20:00,90.0,1.3869,437.8,0
2024-02-07T08:30:00,141.94,1.1322,352.4,0
2024-02-07T08:40:00,166.39,0.5839,465.9,0
2024-02-07T08:50:00,190.65,0.9892,576.6,0
2024-02-07T09:00:00,146.07,1.1861,476.5,0
2024-02-07T09:10:00,100.67,0.9254,479.8,0
2024-02-07T09:20:00,142.41,1.1438,440.8,0
2024-02-07T09:30:00,158.28,0.4741,384.8,0
2024-02-07T09:40:00,124.46,1.9038,381.9,0
2024-02-07T09:50:00,150.29,0.0,308.4,0
2024-02-07T10:00:00,122.57,1.2,617.5,0
2024-02-07T10:10:00,156.41,1.0963,546.1,0
2024-02-07T10:20:00,94.69,1.2363,508.5,1
2024-02-07T10:30:00,122.69,0.5625,530.2,0
2024-02-07T10:40:00,142.97,1.5031,535.1,0
2024-02-07T10:50:00,136.3,0.8664,428.1,0
2024-02-07T11:00:00,113.21,0.3291,491.0,0
2024-02-07T11:10:00,140.51,0.3767,476.6,0
2024-02-07T11:20:00,147.7,0.9883,775.6,1
2024-02-07T11:30:00,137.13,0.1295,626.9,0
2024-02-07T11:40:00,148.14,1.8299,542.2,1
2024-02-07T11:50:00,160.66,1.4559,662.4,0
2024-02-07T12:00:00,152.83,1.8468,666.3,0
2024-02-07T12:10:00,174.55,1.7959,404.8,0
2024-02-07T12:20:00,125.59,0.7611,521.0,0
2024-02-07T12:30:00,197.04,0.5042,542.1,0
2024-02-07T12:40:00,165.88,0.0,605.4,0
2024-02-07T12:50:00,137.24,0.7395,522.3,0
2024-02-07T13:00:00,145.83,1.8273,543.9,1
2024-02-07T13:10:00,149.45,0.5324,508.1,0
2024-02-07T13:20:00,162.34,0.8432,659.6,0
2024-02-07T13:30:00,176.36,0.6727,410.9,0
2024-02-07T13:40:00,122.09,1.1393,513.0,0
2024-02-07T13:50:00,168.3,1.5967,371.8,0
2024-02-07T14:00:00,104.26,0.186,453.7,0
2024-02-07T14:10:00,145.24,0.2835,588.8,1
2024-02-07T14:20:00,180.15,1.7026,591.2,0
2024-02-07T14:30:00,127.2,1.3276,526.8,0
2024-02-07T14:40:00,115.04,0.8333,671.0,0
2024-02-07T14:50:00,167.33,1.8184,694.4,0
2024-02-07T15:00:00,175.93,0.2842,543.9,0
2024-02-07T15:10:00,172.9,1.4341,576.3,0
2024-02-07T15:20:00,111.05,0.9363,506.5,0
2024-02-07T15:30:00,118.54,1.2755,614.9,0
2024-02-07T15:40:00,158.76,0.0,433.3,0
2024-02-07T15:50:00,123.44,0.8456,732.8,0
2024-02-07T16:00:00,151.51,1.3462,651.2,1
2024-02-07T16:10:00,150.91,0.948,417.8,0
2024-02-07T16:20:00,131.51,1.6091,459.3,1
2024-02-07T16:30:00,190.35,1.5942,580.7,0
2024-02-07T16:40:00,152.92,0.5059,505.2,0
2024-02-07T16:50:00,178.99,1.399,594.0,0
2024-02-07T17:00:00,155.67,0.4926,481.8,1
2024-02-07T17:10:00,143.27,1.0177,670.7,0
2024-02-07T17:20:00,140.06,1.3207,519.5,0
2024-02-07T17:30:00,151.39,0.5768,761.1,0
2024-02-07T17:40:00,155.48,1.3898,579.8,0
2024-02-07T17:50:00,135.33,0.7455,385.0,0
2024-02-07T18:00:00,173.68,0.7097,703.6,0
2024-02-07T18:10:00,115.76,1.3552,605.3,0
2024-02-07T18:20:00,141.23,0.5857,533.8,1
2024-02-07T18:30:00,128.94,0.5621,560.9,1
